SUB-b2b5bd9b;BUCHELY;115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;SAN ANDRÉS DE TUMACO;SubArea Cauca-Narino;1.69463;-78.76516
SUB-3c236570;CABAÑA (CAUCA);110.0-115.0;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP - NITRO ENERGY COLOMBIA S.A.S. E.S.P.;CAUCA;GUACHENÉ;SubArea Cauca-Narino;3.18287;-76.3991865
SUB-9ae3f194;CATAMBUCO;115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;PASTO;SubArea Cauca-Narino;1.1947;-77.28416
SUB-daff8747;EL ZAQUE;115.0;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;CAUCA;BOLÍVAR;SubArea Cauca-Narino;2.02416;-77.002
SUB-d17e0dfd;FLORIDA (CAUCA);115.0;VATIA S.A. E.S.P.;CAUCA;CAJIBÍO;SubArea Cauca-Narino;2.62283;-76.5698
SUB-71f470e8;GUAPI;115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;CAUCA;GUAPÍ;SubArea Cauca-Narino;2.56991;-77.884
SUB-44730a1a;INCAUCA;115.0;NITRO ENERGY COLOMBIA S.A.S. E.S.P.;CAUCA;MIRANDA;SubArea Cauca-Narino;3.24855;-76.2336
SUB-b1726404;JAMONDINO;115.0-230.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P. - ENLAZA GRUPO ENERGIA BOGOTA SAS ESP;NARIÑO;PASTO;SubArea Cauca-Narino;1.21782;-77.2528
SUB-961a20f6;JAMUNDI;110.0-115.0;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;VALLE DEL CAUCA;JAMUNDÍ;SubArea Cauca-Narino;3.25522;-76.5593
SUB-d75f5940;JARDINERA;66.39-115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;TÚQUERRES;SubArea Cauca-Narino;1.07687;-77.5803
SUB-8355fdf8;JUNIN (NARIÑO);115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;BARBACOAS;SubArea Cauca-Narino;1.3228;-78.1190814
SUB-0d0d8bb6;OLAYA HERRERA;115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;OLAYA HERRERA;SubArea Cauca-Narino;2.34682;-78.32179
SUB-89c3cfb3;PAEZ;115.0-220.0-230.0;ISA INTERCOLOMBIA S.A. E.S.P.;CAUCA;GUACHENÉ;SubArea Cauca-Narino;3.13292;-76.3938
SUB-e1b4b0dd;PANAMERICANA;115.0-138.0;ISA INTERCOLOMBIA S.A. E.S.P. - CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;IPIALES;SubArea Cauca-Narino;0.8297312445783236;-77.6181
SUB-a64a4c22;PASTO;115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;PASTO;SubArea Cauca-Narino;1.29095;-77.355
SUB-e82c33d8;PRINCIPAL (POPAYAN);115.0;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;CAUCA;POPAYÁN;SubArea Cauca-Narino;2.43236;-76.6219
SUB-9f1f20fd;RIO MAYO;115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P. - COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;NARIÑO;SAN PABLO;SubArea Cauca-Narino;1.67208;-77.0474
SUB-cff02b91;SAN BERNARDINO;115.0-230.0;ISA INTERCOLOMBIA S.A. E.S.P. - COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP - CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P. - ENLAZA GRUPO ENERGIA BOGOTA SAS ESP;CAUCA;POPAYÁN;SubArea Cauca-Narino;2.49955;-76.5952
SUB-4953a744;SAN MARTIN;115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;LA UNIÓN;SubArea Cauca-Narino;1.56215;-77.1317
SUB-0f90a249;SANTANDER;115.0;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;CAUCA;SANTANDER DE QUILICHAO;SubArea Cauca-Narino;2.99786;-76.4924
SUB-3e59dd6d;TESALIA;230.0;ENLAZA GRUPO ENERGIA BOGOTA SAS ESP;HUILA;TESALIA;SubArea Cauca-Narino;2.46175;-75.5822
