SUB-SUB-b2b5bd9b;BUCHELY;115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;SAN ANDRÉS DE TUMACO;SubArea Cauca-Narino
SUB-SUB-3c236570;CABAÑA (CAUCA);110.0-115.0;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP - NITRO ENERGY COLOMBIA S.A.S. E.S.P.;CAUCA;GUACHENÉ;SubArea Cauca-Narino
SUB-SUB-9ae3f194;CATAMBUCO;115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;PASTO;SubArea Cauca-Narino
SUB-SUB-daff8747;EL ZAQUE;115.0;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;CAUCA;BOLÍVAR;SubArea Cauca-Narino
SUB-SUB-d17e0dfd;FLORIDA (CAUCA);115.0;VATIA S.A. E.S.P.;CAUCA;CAJIBÍO;SubArea Cauca-Narino
SUB-SUB-71f470e8;GUAPI;115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;CAUCA;GUAPÍ;SubArea Cauca-Narino
SUB-SUB-44730a1a;INCAUCA;115.0;NITRO ENERGY COLOMBIA S.A.S. E.S.P.;CAUCA;MIRANDA;SubArea Cauca-Narino
SUB-SUB-b1726404;JAMONDINO;115.0-230.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P. - ENLAZA GRUPO ENERGIA BOGOTA SAS ESP;NARIÑO;PASTO;SubArea Cauca-Narino
SUB-SUB-961a20f6;JAMUNDI;110.0-115.0;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;VALLE DEL CAUCA;JAMUNDÍ;SubArea Cauca-Narino
SUB-SUB-d75f5940;JARDINERA;66.39-115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;TÚQUERRES;SubArea Cauca-Narino
SUB-SUB-8355fdf8;JUNIN (NARIÑO);115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;BARBACOAS;SubArea Cauca-Narino
SUB-SUB-0d0d8bb6;OLAYA HERRERA;115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;OLAYA HERRERA;SubArea Cauca-Narino
SUB-SUB-89c3cfb3;PAEZ;115.0-220.0-230.0;ISA INTERCOLOMBIA S.A. E.S.P.;CAUCA;GUACHENÉ;SubArea Cauca-Narino
SUB-SUB-e1b4b0dd;PANAMERICANA;115.0-138.0;ISA INTERCOLOMBIA S.A. E.S.P. - CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;IPIALES;SubArea Cauca-Narino
SUB-SUB-a64a4c22;PASTO;115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;PASTO;SubArea Cauca-Narino
SUB-SUB-e82c33d8;PRINCIPAL (POPAYAN);115.0;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;CAUCA;POPAYÁN;SubArea Cauca-Narino
SUB-SUB-9f1f20fd;RIO MAYO;115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P. - COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;NARIÑO;SAN PABLO;SubArea Cauca-Narino
SUB-SUB-cff02b91;SAN BERNARDINO;115.0-230.0;ISA INTERCOLOMBIA S.A. E.S.P. - COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP - CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P. - ENLAZA GRUPO ENERGIA BOGOTA SAS ESP;CAUCA;POPAYÁN;SubArea Cauca-Narino
SUB-SUB-4953a744;SAN MARTIN;115.0;CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.;NARIÑO;LA UNIÓN;SubArea Cauca-Narino
SUB-SUB-0f90a249;SANTANDER;115.0;COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP;CAUCA;SANTANDER DE QUILICHAO;SubArea Cauca-Narino
SUB-SUB-3e59dd6d;TESALIA;230.0;ENLAZA GRUPO ENERGIA BOGOTA SAS ESP;HUILA;TESALIA;SubArea Cauca-Narino
